"taxon"	"run"	"ee_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	1	13	FALSE	"wdadn"	4	19578	5088	8073	232	991	293	0.0287377678682026	0.295660948536832
"Diptera"	2	14	FALSE	"wdadn"	4	19578	5166	8073	243	991	290	0.0301003344481605	0.29263370332997
"Diptera"	3	15	FALSE	"wdadn"	4	19578	5042	8073	226	991	310	0.0279945497336802	0.312815338042381
"Diptera"	4	16	FALSE	"wdadn"	4	19578	5133	8073	237	991	303	0.029357116313638	0.305751765893037
"Diptera"	5	17	FALSE	"wdadn"	4	19578	5052	8073	226	991	308	0.0279945497336802	0.31079717457114
"Diptera"	6	18	FALSE	"wdadn"	4	19578	5143	8073	237	991	301	0.029357116313638	0.303733602421796
"Blattodea"	1	13	FALSE	"wdadn"	4	49	44	5	2	2	0	0.4	0
"Blattodea"	2	14	FALSE	"wdadn"	4	49	44	5	2	2	0	0.4	0
"Blattodea"	3	15	FALSE	"wdadn"	4	49	40	5	2	2	2	0.4	1
"Blattodea"	4	16	FALSE	"wdadn"	4	49	40	5	2	2	2	0.4	1
"Blattodea"	5	17	FALSE	"wdadn"	4	49	40	5	2	2	2	0.4	1
"Blattodea"	6	18	FALSE	"wdadn"	4	49	40	5	2	2	2	0.4	1
"Hymenoptera"	1	13	FALSE	"wdadn"	4	15886	3674	5680	184	491	217	0.0323943661971831	0.441955193482688
"Hymenoptera"	2	14	FALSE	"wdadn"	4	15886	3769	5680	204	491	209	0.0359154929577465	0.425661914460285
"Hymenoptera"	3	15	FALSE	"wdadn"	4	15886	3581	5680	180	491	227	0.0316901408450704	0.462321792260692
"Hymenoptera"	4	16	FALSE	"wdadn"	4	15886	3688	5680	198	491	222	0.0348591549295775	0.45213849287169
"Hymenoptera"	5	17	FALSE	"wdadn"	4	15886	3583	5680	180	491	227	0.0316901408450704	0.462321792260692
"Hymenoptera"	6	18	FALSE	"wdadn"	4	15886	3690	5680	198	491	222	0.0348591549295775	0.45213849287169
