"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	1	FALSE	"dadn"	1	19578	10081	8073	2443	991	212	0.302613650439737	0.213925327951564
"Diptera"	2	FALSE	"dadn"	1.2	19578	9026	8073	1907	991	251	0.236219497089062	0.253279515640767
"Diptera"	3	FALSE	"dadn"	1.5	19578	7710	8073	1352	991	321	0.167471819645733	0.323915237134208
"Diptera"	4	FALSE	"dadn"	1.8	19578	6644	8073	943	991	378	0.116809116809117	0.381432896064581
"Diptera"	5	FALSE	"dadn"	2.1	19578	5698	8073	654	991	451	0.0810107766629506	0.455095862764884
"Diptera"	6	FALSE	"dadn"	2.4	19578	4977	8073	462	991	496	0.0572277963582311	0.50050454086781
"Diptera"	7	FALSE	"wdadn"	0.8	19578	7491	8073	1360	991	325	0.168462777158429	0.32795156407669
"Diptera"	8	FALSE	"wdadn"	0.9	19578	6834	8073	1101	991	359	0.136380527684876	0.36226034308779
"Diptera"	9	FALSE	"wdadn"	1	19578	6243	8073	871	991	391	0.107890499194847	0.394550958627649
"Diptera"	10	FALSE	"wdadn"	1.1	19578	5722	8073	695	991	428	0.0860894339155209	0.43188698284561
"Diptera"	11	FALSE	"wdadn"	1.2	19578	5301	8073	572	991	453	0.07085346215781	0.457114026236125
"Diptera"	12	FALSE	"wdadn"	1.3	19578	4921	8073	456	991	489	0.0564845782237087	0.493440968718466
"Diptera"	13	TRUE	"dadn"	0.4	19578	5085	8073	327	991	348	0.0405053883314753	0.351160443995964
"Diptera"	14	TRUE	"dadn"	0.6	19578	4920	8073	273	991	348	0.0338164251207729	0.351160443995964
"Diptera"	15	TRUE	"dadn"	0.8	19578	4687	8073	238	991	365	0.0294809860027251	0.368314833501514
"Diptera"	16	TRUE	"dadn"	1	19578	4483	8073	195	991	387	0.0241545893719807	0.390514631685166
"Diptera"	17	TRUE	"dadn"	1.2	19578	4258	8073	166	991	415	0.0205623683884553	0.418768920282543
"Diptera"	18	TRUE	"dadn"	1.5	19578	3920	8073	124	991	457	0.015359841446798	0.461150353178607
"Diptera"	19	TRUE	"wdadn"	0.1	19578	5155	8073	364	991	343	0.0450885668276973	0.346115035317861
"Diptera"	20	TRUE	"wdadn"	0.3	19578	4770	8073	272	991	385	0.0336925554316859	0.388496468213925
"Diptera"	21	TRUE	"wdadn"	0.5	19578	4389	8073	195	991	420	0.0241545893719807	0.423814328960646
"Diptera"	22	TRUE	"wdadn"	0.7	19578	4077	8073	141	991	449	0.0174656261612783	0.453077699293643
"Diptera"	23	TRUE	"wdadn"	0.9	19578	3765	8073	113	991	495	0.0139972748668401	0.49949545913219
"Diptera"	24	TRUE	"wdadn"	1.1	19578	3488	8073	90	991	522	0.0111482720178372	0.526740665993946
"Blattodea"	1	FALSE	"dadn"	1	49	38	5	1	2	1	0.2	0.5
"Blattodea"	2	FALSE	"dadn"	1.2	49	35	5	1	2	2	0.2	1
"Blattodea"	3	FALSE	"dadn"	1.5	49	32	5	1	2	2	0.2	1
"Blattodea"	4	FALSE	"dadn"	1.8	49	31	5	1	2	2	0.2	1
"Blattodea"	5	FALSE	"dadn"	2.1	49	29	5	0	2	2	0	1
"Blattodea"	6	FALSE	"dadn"	2.4	49	27	5	0	2	2	0	1
"Blattodea"	7	FALSE	"wdadn"	0.8	49	37	5	1	2	2	0.2	1
"Blattodea"	8	FALSE	"wdadn"	0.9	49	36	5	1	2	2	0.2	1
"Blattodea"	9	FALSE	"wdadn"	1	49	32	5	1	2	2	0.2	1
"Blattodea"	10	FALSE	"wdadn"	1.1	49	31	5	1	2	2	0.2	1
"Blattodea"	11	FALSE	"wdadn"	1.2	49	30	5	1	2	2	0.2	1
"Blattodea"	12	FALSE	"wdadn"	1.3	49	28	5	1	2	2	0.2	1
"Blattodea"	13	TRUE	"dadn"	0.4	49	32	5	1	2	2	0.2	1
"Blattodea"	14	TRUE	"dadn"	0.6	49	32	5	1	2	2	0.2	1
